P00,P01,P02,Activity
numeric,numeric,numeric,numeric
-2.78872911,0.30626679,0.791485313,5
-2.783821391,0.209483635,0.995852172,5
-2.75339175,0.028100572,1.126888709,5
-2.854574451,-0.326917578,1.103524489,5
-2.891715267,-0.468003984,1.184149099,5
-2.873440725,-0.569542718,1.127506586,5
-2.719373676,-0.185128827,1.141778932,5
-2.790767156,0.061684333,0.967810308,5
-2.842305713,-0.061229026,1.048920064,5
-2.586424797,-0.13763325,0.936844229,5
-2.620959666,-0.241721031,1.080600142,5
-3.028880329,-0.898115704,1.055788568,5
-3.052666878,-0.782901893,1.113319093,5
-3.028921446,-1.010594234,1.33371422,5
-2.142802969,1.463144814,0.611034715,5
-2.784834912,0.541609446,0.972592372,5
-2.875490755,0.204119329,1.001582885,5
-2.869918378,-0.13900932,1.033151583,5
-2.943027406,-0.698482928,1.261188182,5
-3.032005971,-0.662029497,1.210013355,5
-3.056450872,-1.218128622,1.301450832,5
-3.087462718,-1.390118853,1.444258788,5
-3.019335598,-1.105755477,1.299498408,5
-3.025518015,-1.030225139,1.327034799,5
-2.987114292,-0.884253607,1.270123725,5
-2.990000502,-0.893870591,1.360097595,5
-3.045141853,-1.212838031,1.356485638,5
-1.240190461,1.641166548,-0.154622282,4
-2.716739112,1.021175694,-0.105822001,4
-2.88575428,0.264667013,0.271631399,4
-0.510887574,1.654171009,-0.450186653,4
0.009039831,2.23170696,-0.698266696,4
-1.033111907,1.807836484,-0.781275599,4
-2.471700625,0.911259173,-0.60698141,4
-2.905534246,0.359082616,-0.379294806,4
-3.080768265,-0.414662778,-0.106266975,4
-3.132347748,-1.292536493,0.100955632,4
-3.127984495,-1.191765929,0.179586331,4
-2.324100641,0.971104537,-0.009322015,4
-2.565741333,0.455727071,0.180570115,4
-2.808583605,0.009526279,0.320434707,4
-2.927375985,-0.536323383,0.504217546,4
-2.946129556,-0.529673905,0.543182963,4
-3.017557946,-0.277796342,0.402362141,4
-3.030979431,-0.294197569,0.456404132,4
-3.043193536,-0.612819559,0.715990216,4
-3.063522692,-0.719032073,0.702842862,4
-3.046087463,-0.708824407,0.659280074,4
-3.037554008,-0.673446394,0.654918198,4
-3.039246526,-0.513357798,0.528702333,4
-3.08297815,-0.674453942,0.737865772,4
-1.791205656,0.885598239,-1.928808987,6
-2.923796918,-0.133769722,-1.405590925,6
-3.142714398,-0.762557045,-1.232306413,6
-3.324048506,-1.197926011,-0.877124716,6
-3.329809676,-1.365102258,-0.815792388,6
-3.271102151,-1.576101345,-0.774960518,6
-3.250457871,-1.366118477,-1.003825894,6
-3.315901058,-1.296510693,-0.843052243,6
-3.28154052,-1.269764588,-0.848142449,6
-3.311563343,-1.587260442,-0.803094993,6
-3.296762774,-1.545099089,-0.804614402,6
-3.337510504,-1.51812678,-0.683109595,6
-3.340123294,-1.47367936,-0.769549311,6
-1.070274797,0.916407765,-1.415616679,6
-2.413282077,0.702201236,-1.542194648,6
0.512231028,1.587585915,-2.052317817,6
0.714248989,1.910094527,-2.443443817,6
-1.274310797,1.437771222,-2.12189343,6
-0.344134519,0.817094531,-1.966869256,6
2.332977954,0.553942086,-2.343960303,6
1.963385768,0.223853073,-2.170223674,6
-0.50570808,1.413091373,-2.122204127,6
-2.17986708,0.810557135,-1.378743813,6
-2.693421012,0.023015112,-1.134779242,6
-3.096832311,-0.435909342,-0.837562947,6
-3.162339661,-0.99124149,-0.73125946,6
-3.211583163,-1.352361293,-0.751462145,6
3.047642883,-0.0383722,0.254552201,1
3.368249258,-0.307400057,0.119844829,1
3.200232237,-0.320998799,0.266500317,1
3.776964673,-0.504770336,0.249446185,1
3.839726412,-0.453450836,0.248363721,1
3.402598243,-0.311851723,0.164566453,1
3.473224248,-0.255378482,0.293996305,1
3.580711737,-0.683413628,0.365815016,1
2.997113413,0.261793842,0.352610825,1
3.363186601,-0.297767291,0.289279998,1
3.097667342,-0.386999763,0.149387622,1
3.35067949,-0.458337336,0.208686008,1
3.597059973,-0.354748969,0.169015723,1
3.917335729,-0.604668302,0.02907603,1
3.903851116,-0.691836666,0.171401335,1
3.729613727,-0.749123434,0.311783044,1
3.712633446,-0.635083621,0.315664424,1
3.721665923,-0.584935745,0.295505064,1
3.781563383,-0.526705776,0.408192741,1
3.40783869,-0.546774364,0.347781361,1
3.727682989,-0.580298156,0.317295297,1
3.646039053,-0.499118697,0.131746378,1
3.472855553,-0.491256987,0.021542038,1
4.11487525,-1.272009416,0.235933921,1
4.022382921,-1.063324436,0.163930997,1
